Country,Lat,Long,Number
Algeria,28.033886,1.659626,8
Benin,9.30769,2.315834,7
Cameroon,7.369722,12.354722,5
Egypt,26.820553,30.802498,13
Kenya,-0.023559,37.906193,23
Morocco,31.791702,-7.09262,14
Mozambique,-18.665695,35.529562,1
Nigeria,9.081999,8.675277,32
South Africa,-30.559482,22.937506,37
Tanzania,-6.369028,34.888822,8
Tunisia,33.886917,9.537499,11
Uganda,0.2541,31.9928,5
Zimbabwe,-19.015438,29.154857,2
